1;roodkeelduiker;Roodkeel;roodkeelduiker
2;parelduiker;Pareld;parelduiker
3;ijsduiker;Ijsdui;ijsduiker
5;dodaars;Dodaars;dodaars
6;fuut;Fuut;fuut
7;roodhalsfuut;Rhfuut;roodhalsfuut
8;kuifduiker;Kuifdkr;kuifduiker
9;geoorde fuut;GeoordeF;geoorde fuut
10;noordse stormvogel;NoStorm;noordse storm;noorse storm
13;grauwe pijlstormvogel;Grwe Pijl;grauwe pijl;lauwe pijl
14;noordse pijlstormvogel;NoordsePijl;noordse pijl;noorse pijl
17;vaal stormvogeltje;Vaaltje;vaaltje
19;jan-van-gent;JvGent;jan van gent
20;aalscholver;Aal;alsgolver;als golven;als volgor;als golden;als over;allesgolver;alles over;ali;alscherver
21;kuifaalscholver;Kuifaal;kuif ali
22;roerdomp;Roerdomp;roerdomp
23;woudaap;Woudaap;wouaap
24;kwak;Kwak;kwak
25;ralreiger;Ralreiger;ralreiger
26;koereiger;Koereiger;koereiger
27;kleine zilverreiger;KlZilver;kleine zilver
28;grote zilverreiger;GroZilv;grote zilver
29;blauwe reiger;BlaR;laurijger;lauregor;laureger;blauwe regen;blauwe regener
30;purperreiger;Purperr;purper
31;zwarte ooievaar;ZwOoi;zwarte ooi
32;ooievaar;Ooiev;ooievaar
33;zwarte ibis;ZwIbis;zwarte ibis
34;lepelaar;Lepel;liepelaar
36;knobbelzwaan;Knobbel;knobbelzwaan
37;kleine zwaan;KlZwaan;kleine zwaan
38;wilde zwaan;WiZwaan;wilde zwaan
39;rietgans spec.;rietgasp;rietgans spec.
41;toendrarietgans;Toenriet;toendrarietgans
42;kleine rietgans;KlRiet;kleine riet;kleine rieten
43;kolgans;Kol;kol;kollen
45;grauwe gans;GrGans;rauwehands;grohe hans
49;brandgans;Brand;brandjes
50;rotgans;Rot;rotjes;rotties
52;Nijlgans;Nijlgans;nijlgans
54;bergeend;Berge;bargeend;bargind;barents;waarheend;berg inkt;barg eend;barcheent;berg 1;bar eens;bar eend;bach eens;barind;berg een;bergeen;berg1;bar1;bar 1;back ind
56;smient;Smient;smient
59;krakeend;Krak;craquin;kraqueen;crokin;krakking;craqueen;croky;kraqueend;brakind;krake eend
61;wintertaling;WiTa;wita
62;wilde eend;WildeE;weldient
63;pijlstaart;Pijlst;pijlstaart
64;zomertaling;Zomerta;zomertaling
66;slobeend;Slobeend;slop eent
67;krooneend;Krooneend;krooneend
68;tafeleend;Tafel;tafeleend
71;kuifeend;Kuifeend;kuifeend
72;topper;Topper;topper
73;eider;Eider;eider
77;ijseend;IJseend;ijseend
78;zwarte zee-eend;ZwZee;zwarte zeeend;kakkers;zwarte ze eend;zwarte zieeend
80;grote zee-eend;GrZeeeend;grote zee-eend
81;brilduiker;Brildui;brilduiker
82;nonnetje;Nonnetje;nonnetje
83;middelste zaagbek;MiZa;miza
84;grote zaagbek;GrZaag;groza
86;wespendief;Wespend;wesp;wespen
87;grijze wouw;Grijze Wouw;grijze wouw
88;zwarte wouw;ZwWouw;zwarte wouw
89;rode wouw;RoWouw;rowo
91;zeearend;ZeeA;zeearend
92;vale gier;ValeG;vale gier
94;slangenarend;SlangenA;slangenarend
95;bruine kiekendief;BrKiek;bruine kiek;bruine quick;brengen kiekendief;brende kiekendief;bruine kickendief;benekiekendief
96;blauwe kiekendief;BlaKie;blauwe kiek;blauwe kickendief;blauwe kikkerdief
97;steppekiekendief;Steppekiek;steppekiek;steppenkiek
98;grauwe kiekendief;GrKiek;grauwe kiek;grauwe kikkerdief
99;havik;Havik;havik
100;sperwer;Sperw;sperwer
101;buizerd;Buizerd;buizerd
109;visarend;VisA;visa
110;torenvalk;TorenV;boerenwolk;boerenwalk;toerenwalk;toerenwolk
111;Roodpootvalk;RopoValk;roodpootvalk
112;smelleken;Smel;smelleken
113;boomvalk;Boomvalk;boomvalk
115;slechtvalk;Slechtv;slechtvalk
119;patrijs;Patrijs;patrijs
120;kwartel;Kwartel;kwartel
122;waterral;Waterra;waterral
127;waterhoen;Waterhoen;waterhoen
128;meerkoet;Meerkoet;meerkoet
129;kraanvogel;Kraanv;kraantjes;kraantje
133;scholekster;Schol;vollekster;schol
134;steltkluut;Steltklu;steltkluut
135;kluut;Kluut;kluutjes;ludw
136;griel;Griel;griel
140;kleine plevier;KlPlev;kleine plevier
141;bontbekplevier;Bontbek;bombak profiel;bombak profir;bombak profijer;bonbak profiel;bombak profijt
142;strandplevier;Strandplvr;strandplevier
144;Morinelplevier;Morinelplevier;morinelplevier
145;goudplevier;Goudpl;goedplevier;houtplevier;oud plevier;oed plevier
147;zilverplevier;Zilverpl;zilvers
150;kievit;Kievit;kieviten
151;kanoet;Kanoet;kanoet
152;drieteenstrandloper;Drietstra;drieteenstrandloper
154;kleine strandloper;KlStrand;kleine strandloper
155;temmincks strandloper;TemmStrlpr;temmincks strandloper
159;krombekstrandloper;Krombek;krombekstrandloper
160;paarse strandloper;PaarseS;paarse strandloper
161;bonte strandloper;BonteStra;bontjes;boentjes;boontjes;bonjes
165;kemphaan:kemph;Kemph;kemphaan
166;bokje;Bokje;bokje
167;watersnip;WaterSn;watersnip
170;houtsnip;Houtsnip;houtsnip
171;grutto;Grutto;grutto
172;rosse grutto;RosseGr;roste grutto
173;regenwulp;Regenw;regenwelp;regenwulpen
