1;roodkeelduiker;Roodkeel;;;;;;;;;;;;;;;;;;;
2;parelduiker;Pareld;;;;;;;;;;;;;;;;;;;
3;ijsduiker;Ijsdui;;;;;;;;;;;;;;;;;;;
5;dodaars;Dodaars;;;;;;;;;;;;;;;;;;;
6;fuut;Fuut;;;;;;;;;;;;;;;;;;;
7;roodhalsfuut;Rhfuut;;;;;;;;;;;;;;;;;;;
8;kuifduiker;Kuifdkr;;;;;;;;;;;;;;;;;;;
9;geoorde fuut;GeoordeF;;;;;;;;;;;;;;;;;;;
10;noordse stormvogel;NoStorm;noordse storm;noorse storm;;;;;;;;;;;;;;;;;
13;grauwe pijlstormvogel;Grwe Pijl;grauwe pijl;lauwe pijl;;;;;;;;;;;;;;;;;
14;noordse pijlstormvogel;NoordsePijl;noordse pijl;noorse pijl;;;;;;;;;;;;;;;;;
17;vaal stormvogeltje;Vaaltje;vaaltje;;;;;;;;;;;;;;;;;;
19;jan-van-gent;JvGent;jan van gent;;;;;;;;;;;;;;;;;;
20;aalscholver;Aal;alsgolver;als golven;als volgor;als golden;als over;allesgolver;alles over;ali;alscherver;;;;;;;;;;
21;kuifaalscholver;Kuifaal;kuif ali;;;;;;;;;;;;;;;;;;
22;roerdomp;Roerdomp;;;;;;;;;;;;;;;;;;;
23;woudaap;Woudaap;wouaap;;;;;;;;;;;;;;;;;;
24;kwak;Kwak;;;;;;;;;;;;;;;;;;;
25;ralreiger;Ralreiger;;;;;;;;;;;;;;;;;;;
26;koereiger;Koereiger;;;;;;;;;;;;;;;;;;;
27;kleine zilverreiger;KlZilver;kleine zilver;;;;;;;;;;;;;;;;;;
28;grote zilverreiger;GroZilv;grote zilver;;;;;;;;;;;;;;;;;;
29;blauwe reiger;BlaR;laurijger;lauregor;laureger;blauwe regen;blauwe regener;;;;;;;;;;;;;;
30;purperreiger;Purperr;purper;;;;;;;;;;;;;;;;;;
31;zwarte ooievaar;ZwOoi;zwarte ooi;;;;;;;;;;;;;;;;;;
32;ooievaar;Ooiev;ooievaar;;;;;;;;;;;;;;;;;;
33;zwarte ibis;ZwIbis;;;;;;;;;;;;;;;;;;;
34;lepelaar;Lepel;liepelaar;;;;;;;;;;;;;;;;;;
36;knobbelzwaan;Knobbel;;;;;;;;;;;;;;;;;;;
37;kleine zwaan;KlZwaan;;;;;;;;;;;;;;;;;;;
38;wilde zwaan;WiZwaan;;;;;;;;;;;;;;;;;;;
41;toendrarietgans;Toenriet;;;;;;;;;;;;;;;;;;;
42;kleine rietgans;KlRiet;kleine riet;kleine rieten;;;;;;;;;;;;;;;;;
43;kolgans;Kol;kol;kollen;;;;;;;;;;;;;;;;;
45;grauwe gans;GrGans;rauwehands;grohe hans;;;;;;;;;;;;;;;;;
49;brandgans;Brand;brandjes;;;;;;;;;;;;;;;;;;
50;rotgans;Rot;rotjes;rotties;;;;;;;;;;;;;;;;;
