dataid;date;timestamp;countid;siteid;speciesid;speciesname;direction1;direction2;local;remarkable;remarkablelocal;age;sex;plumage;remark;height;location;migtype;counttype;year;yday;exactdirection1;exactdirection2;sightingdirection;groupid;submitted;Epoch_datetime;Epoch_tijdstip
4670289;2003-12-10;10:15:00;10097;74;20;Aalscholver;453;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670316;2003-12-10;10:15:00;10097;74;27;Kleine Zilverreiger;2;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670308;2003-12-10;10:15:00;10097;74;29;Blauwe Reiger;10;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670303;2003-12-10;10:15:00;10097;74;45;Grauwe Gans;6;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670304;2003-12-10;10:15:00;10097;74;100;Sperwer;1;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670299;2003-12-10;10:15:00;10097;74;101;Buizerd;3;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670315;2003-12-10;10:15:00;10097;74;141;Bontbekplevier;1;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670305;2003-12-10;10:15:00;10097;74;145;Goudplevier;341;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670311;2003-12-10;10:15:00;10097;74;167;Watersnip;7;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670313;2003-12-10;10:15:00;10097;74;175;Wulp;6;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670320;2003-12-10;10:15:00;10097;74;196;Zwartkopmeeuw;1;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670302;2003-12-10;10:15:00;10097;74;232;Holenduif;3;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
4670284;2003-12-10;10:15:00;10097;74;233;Houtduif;62;0;0;False;False;;;;;;;;;2003;285;;;;;;1065953700;1065953700
